,ID,Date,League,GT1,GT2,T1ID,T2ID
373,8972,2015-01-25,Westliga Herren Großfeld,5,4,166,176
374,1395,2015-01-25,2. FBL Süd/Ost,5,4,213,210
375,7646,2015-01-25,2. FBL Nord/West,5,6,52,186
376,3103,2015-01-25,RL Herren GF Staffel 2,2,18,136,81
377,7197,2015-01-25,Westliga Herren Großfeld,2,8,174,78
378,3097,2015-01-25,Westliga Herren Großfeld,2,3,157,159
379,6443,2015-01-25,Herren Großfeld,17,2,12,59
380,3580,2015-01-25,Westliga Herren Großfeld,3,2,78,166
381,4294,2015-01-25,Herren Großfeld,6,5,58,14
382,419,2015-01-25,1. FBL Herren,11,8,97,76
383,3047,2015-01-25,RL Herren GF Staffel 2,7,1,205,43
384,9409,2015-01-25,1. FBL Herren,10,1,203,217
385,5828,2015-01-25,Westliga Herren Großfeld,6,2,1,56
386,9447,2015-01-25,1. FBL Herren,11,7,38,158
387,1060,2015-01-25,Westliga Herren Großfeld,5,4,56,157
388,9219,2015-01-31,1. FBL Herren,4,5,207,38
389,5230,2015-01-31,2. FBL Nord/West,5,5,52,19
390,4844,2015-01-31,2. FBL Süd/Ost,6,7,209,213
391,2428,2015-01-31,Herren Bayernliga,6,18,31,77
392,6616,2015-01-31,2. FBL Süd/Ost,5,7,200,99
393,4889,2015-01-31,Herren Bayernliga,22,4,77,86
394,7930,2015-01-31,1. FBL Herren,2,4,76,48
395,4906,2015-01-31,1. FBL Herren,9,10,158,80
396,27,2015-01-31,Herren Bayernliga,4,6,167,31
397,4019,2015-01-31,Regionalliga Nordwest (Herren GF),7,5,170,185
398,860,2015-01-31,2. FBL Nord/West,13,2,194,221
399,4731,2015-01-31,Herren Bayernliga,6,5,86,167
400,252,2015-02-01,Regionalliga Nordwest (Herren GF),6,7,76,145
401,9255,2015-02-01,Herren Großfeld Verbandsliga Nord,15,4,23,74
402,4585,2015-02-01,Herren Großfeld Regionalliga Nord,8,4,73,39
403,8385,2015-02-01,1. FBL Herren,5,6,158,48
404,7909,2015-02-01,Herren Großfeld Verbandsliga Nord,6,4,175,187
405,5379,2015-02-01,Herren Großfeld Regionalliga Nord,11,3,146,66
406,6196,2015-02-01,1. FBL Herren,8,9,97,203
407,2390,2015-02-01,2. FBL Nord/West,7,2,186,32
408,4338,2015-02-01,2. FBL Süd/Ost,15,4,197,213
409,3204,2015-02-01,1. FBL Herren,12,6,76,80
410,5588,2015-02-01,2. FBL Süd/Ost,10,5,99,60
